Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,630617.9233477792
FDW14,OUT017,612852.8015845335
NCN55,OUT010,758846.8616770969
FDQ58,OUT017,678315.2102808333
FDY38,OUT027,749358.2336449532
FDH56,OUT046,639142.1548072778
FDL48,OUT018,576909.607874538
FDC48,OUT027,601354.5128441431
FDN33,OUT045,619729.8448292582
FDA36,OUT017,709117.392056272
FDT44,OUT017,642763.0181283249
FDQ56,OUT045,609707.1626781721
NCC54,OUT019,754345.1401350661
FDU11,OUT049,644730.6132669426
DRL59,OUT013,573671.6602118968
FDM24,OUT049,673083.6704586432
FDI57,OUT045,719164.164468959
DRC12,OUT018,714235.6012101601
NCM42,OUT027,629008.3479223488
FDA46,OUT010,712431.5722579887
FDA31,OUT013,692614.5317078987
NCJ31,OUT035,759436.1354245105
FDG52,OUT046,572008.6020018486
NCL19,OUT019,659583.5770289835
FDS10,OUT035,702240.5948981699
FDX22,OUT010,727764.8846920263
NCF19,OUT035,573637.7945480249
NCE06,OUT046,681910.3378815481
DRC27,OUT046,762305.7688865827
FDE21,OUT035,640279.5039616352
NCR42,OUT019,553019.7094557262
FDX51,OUT018,716979.2701066779
NCR06,OUT018,569518.7094236284
FDU31,OUT027,733459.6238927973
FDU59,OUT017,687229.4374420075
FDR03,OUT027,721232.1618395041
FDS49,OUT027,600688.9779998097
FDD48,OUT010,635450.9160872387
NCF18,OUT017,714055.6467481393
NCD43,OUT027,622925.3373455581
NCD54,OUT018,667002.9168875827
FDY19,OUT010,637892.0325614039
NCY54,OUT017,696560.2780022599
NCL19,OUT018,668494.5977267467
FDP23,OUT010,735204.7453057426
FDC26,OUT013,631885.4767804642
FDR14,OUT010,579175.0975201967
NCS41,OUT035,704736.9933147364
FDF41,OUT035,767451.2544246702
FDU34,OUT046,646539.2676437948
DRH11,OUT046,581098.9295231713
FDM03,OUT013,626539.9876131872
FDS31,OUT017,703390.1185121031
FDJ20,OUT017,646592.0588305582
FDV44,OUT027,705403.6012747058
FDG02,OUT049,708992.421685627
FDA09,OUT013,697067.6422404186
FDT04,OUT013,560472.7688364504
FDL58,OUT019,776440.409210026
FDE52,OUT045,614257.1728278592
FDW12,OUT035,667685.6149693645
FDL51,OUT017,736100.8770319284
NCY42,OUT027,659599.931186387
FDR07,OUT017,621901.5905140799
FDN40,OUT045,674754.7266908934
FDB35,OUT027,610384.6143146676
FDA22,OUT017,688743.5156452795
NCL06,OUT046,779588.5019686503
FDI35,OUT013,698602.9497268434
NCW42,OUT045,741250.3595806626
